ts,host_pair,commit,tunnel,profile,param,metric,value,conditions
2026-07-15T06:14:31Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,tcp_throughput,streams=1,mbit_s,1161.6,clean
2026-07-15T06:14:45Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,tcp_throughput,streams=4,mbit_s,4110.7,clean
2026-07-15T06:14:57Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,udp_throughput,offered=200M,mbit_s,200.0,clean
2026-07-15T06:14:57Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,udp_jitter,offered=200M,ms,0.019,clean
2026-07-15T06:14:57Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,udp_loss,offered=200M,pct,1.25,clean
2026-07-15T06:15:15Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,latency,idle,rtt_ms,23.245,clean
2026-07-15T06:15:15Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,latency,loaded,rtt_ms,24.958,saturated
2026-07-15T06:15:23Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,cpu_used,tcp_saturate,pct,13.4,sender_host_A_1vcpu
2026-07-15T06:15:45Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_effective,injected=0pct,pct,0,netem_0pct
2026-07-15T06:15:45Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_goodput,injected=0pct,mbit_s,1155.6,netem_0pct
2026-07-15T06:16:10Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_effective,injected=1pct,pct,2,netem_1pct
2026-07-15T06:16:10Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_goodput,injected=1pct,mbit_s,6.7,netem_1pct
2026-07-15T06:16:35Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_effective,injected=3pct,pct,5,netem_3pct
2026-07-15T06:16:35Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_goodput,injected=3pct,mbit_s,37.6,netem_3pct
2026-07-15T06:17:00Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_effective,injected=5pct,pct,9,netem_5pct
2026-07-15T06:17:00Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_goodput,injected=5pct,mbit_s,2.9,netem_5pct
2026-07-15T06:17:29Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_effective,injected=10pct,pct,7,netem_10pct
2026-07-15T06:17:29Z,45.61.149.155->144.172.98.216,8cdc7f6,baseline,loss_goodput,injected=10pct,mbit_s,1.2,netem_10pct
2026-07-15T06:17:44Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,tcp_throughput,streams=1,mbit_s,116.8,clean
2026-07-15T06:17:59Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,tcp_throughput,streams=4,mbit_s,138.4,clean
2026-07-15T06:18:10Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,udp_throughput,offered=200M,mbit_s,200.0,clean
2026-07-15T06:18:10Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,udp_jitter,offered=200M,ms,0.026,clean
2026-07-15T06:18:10Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,udp_loss,offered=200M,pct,2.06,clean
2026-07-15T06:18:28Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,latency,idle,rtt_ms,24.768,clean
2026-07-15T06:18:28Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,latency,loaded,rtt_ms,50.877,saturated
2026-07-15T06:18:36Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,cpu_used,tcp_saturate,pct,41.2,sender_host_A_1vcpu
2026-07-15T06:18:58Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_effective,injected=0pct,pct,0,netem_0pct
2026-07-15T06:18:58Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_goodput,injected=0pct,mbit_s,53.2,netem_0pct
2026-07-15T06:19:23Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_effective,injected=1pct,pct,0,netem_1pct
2026-07-15T06:19:23Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_goodput,injected=1pct,mbit_s,93.7,netem_1pct
2026-07-15T06:19:48Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_effective,injected=3pct,pct,0,netem_3pct
2026-07-15T06:19:48Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_goodput,injected=3pct,mbit_s,35.6,netem_3pct
2026-07-15T06:20:13Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_effective,injected=5pct,pct,0,netem_5pct
2026-07-15T06:20:13Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_goodput,injected=5pct,mbit_s,24.8,netem_5pct
2026-07-15T06:20:38Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_effective,injected=10pct,pct,1,netem_10pct
2026-07-15T06:20:38Z,45.61.149.155->144.172.98.216,8cdc7f6,yip,loss_goodput,injected=10pct,mbit_s,13.0,netem_10pct
2026-07-15T06:20:54Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,tcp_throughput,streams=1,mbit_s,438.1,clean
2026-07-15T06:21:08Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,tcp_throughput,streams=4,mbit_s,447.4,clean
2026-07-15T06:21:19Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,udp_throughput,offered=200M,mbit_s,200.0,clean
2026-07-15T06:21:19Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,udp_jitter,offered=200M,ms,0.060,clean
2026-07-15T06:21:19Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,udp_loss,offered=200M,pct,4.24,clean
2026-07-15T06:21:38Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,latency,idle,rtt_ms,23.282,clean
2026-07-15T06:21:38Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,latency,loaded,rtt_ms,23.760,saturated
2026-07-15T06:21:46Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,cpu_used,tcp_saturate,pct,46.2,sender_host_A_1vcpu
2026-07-15T06:22:11Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_effective,injected=0pct,pct,0,netem_0pct
2026-07-15T06:22:11Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_goodput,injected=0pct,mbit_s,442.4,netem_0pct
2026-07-15T06:22:36Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_effective,injected=1pct,pct,1,netem_1pct
2026-07-15T06:22:36Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_goodput,injected=1pct,mbit_s,5.1,netem_1pct
2026-07-15T06:23:01Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_effective,injected=3pct,pct,2,netem_3pct
2026-07-15T06:23:01Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_goodput,injected=3pct,mbit_s,2.5,netem_3pct
2026-07-15T06:23:27Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_effective,injected=5pct,pct,1,netem_5pct
2026-07-15T06:23:27Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_goodput,injected=5pct,mbit_s,1.7,netem_5pct
2026-07-15T06:23:52Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_effective,injected=10pct,pct,9,netem_10pct
2026-07-15T06:23:52Z,45.61.149.155->144.172.98.216,8cdc7f6,wireguard,loss_goodput,injected=10pct,mbit_s,1.0,netem_10pct
2026-07-15T06:24:07Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,tcp_throughput,streams=1,mbit_s,38.5,clean
2026-07-15T06:24:21Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,tcp_throughput,streams=4,mbit_s,60.5,clean
2026-07-15T06:24:33Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,udp_throughput,offered=200M,mbit_s,200.0,clean
2026-07-15T06:24:33Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,udp_jitter,offered=200M,ms,0.048,clean
2026-07-15T06:24:33Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,udp_loss,offered=200M,pct,5.61,clean
2026-07-15T06:24:51Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,latency,idle,rtt_ms,26.114,clean
2026-07-15T06:24:51Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,latency,loaded,rtt_ms,23.822,saturated
2026-07-15T06:24:59Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,cpu_used,tcp_saturate,pct,48.5,sender_host_A_1vcpu
2026-07-15T06:25:21Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,loss_effective,injected=0pct,pct,0,netem_0pct
2026-07-15T06:25:21Z,45.61.149.155->144.172.98.216,8cdc7f6,openvpn,loss_goodput,injected=0pct,mbit_s,42.1,netem_0pct
